sample_id,source_sample_id,replicate,replicate_count,repeated_sample,batch,file_type,file_name_source,file_name,local_path,file_description,file_MD5,technology,omic,adjustment,content,time,header,annotation,configuration_file,data_type
PD_BN0009_MTG_snRNAseq_batch1_rep1,BN0009,rep1,1,0,batch1,fastq,BN0009_S2_L001_I1_001.fastq.gz,PD_BN0009_MTG_snRNAseq_rep1_L001_I1_001.fastq.gz,/data/neurogen/ASAP/scRNAseq/data/batch1_ASAP_snRNA-seq_*/Raw_Data_and_Processing/cellranger_processing/cellranger_fastqs/outs/fastq_path/H*/BN0009_S2_L001_I1_001.fastq.gz,Index 1 Lane 1,bc037ea92d5359f3da1ba6da4f974e1c,SN,RNA,Raw,Reads,NA,NA,NA,NA,snRNAseq
PD_BN0009_MTG_snRNAseq_batch1_rep1,BN0009,rep1,1,0,batch1,fastq,BN0009_S2_L001_I2_001.fastq.gz,PD_BN0009_MTG_snRNAseq_rep1_L001_I2_001.fastq.gz,/data/neurogen/ASAP/scRNAseq/data/batch1_ASAP_snRNA-seq_*/Raw_Data_and_Processing/cellranger_processing/cellranger_fastqs/outs/fastq_path/H*/BN0009_S2_L001_I2_001.fastq.gz,Index 2 Lane 1,0c8ef844b76212e82428af03d341048b,SN,RNA,Raw,Reads,NA,NA,NA,NA,snRNAseq
PD_BN0009_MTG_snRNAseq_batch1_rep1,BN0009,rep1,1,0,batch1,fastq,BN0009_S2_L001_R1_001.fastq.gz,PD_BN0009_MTG_snRNAseq_rep1_L001_R1_001.fastq.gz,/data/neurogen/ASAP/scRNAseq/data/batch1_ASAP_snRNA-seq_*/Raw_Data_and_Processing/cellranger_processing/cellranger_fastqs/outs/fastq_path/H*/BN0009_S2_L001_R1_001.fastq.gz,Read 1 Lane 1,c6a41f29849152df2ba2391dc559149b,SN,RNA,Raw,Reads,NA,NA,NA,NA,snRNAseq
PD_BN0009_MTG_snRNAseq_batch1_rep1,BN0009,rep1,1,0,batch1,fastq,BN0009_S2_L001_R2_001.fastq.gz,PD_BN0009_MTG_snRNAseq_rep1_L001_R2_001.fastq.gz,/data/neurogen/ASAP/scRNAseq/data/batch1_ASAP_snRNA-seq_*/Raw_Data_and_Processing/cellranger_processing/cellranger_fastqs/outs/fastq_path/H*/BN0009_S2_L001_R2_001.fastq.gz,Read 2 Lane 1,4d610fdf5a72c8206b2f1505d8fcecd7,SN,RNA,Raw,Reads,NA,NA,NA,NA,snRNAseq
PD_BN0009_MTG_snRNAseq_batch1_rep1,BN0009,rep1,1,0,batch1,fastq,BN0009_S2_L002_I1_001.fastq.gz,PD_BN0009_MTG_snRNAseq_rep1_L002_I1_001.fastq.gz,/data/neurogen/ASAP/scRNAseq/data/batch1_ASAP_snRNA-seq_*/Raw_Data_and_Processing/cellranger_processing/cellranger_fastqs/outs/fastq_path/H*/BN0009_S2_L002_I1_001.fastq.gz,Index 1 Lane 2,e34917b3ec01cd09ea8b52c82db1dc83,SN,RNA,Raw,Reads,NA,NA,NA,NA,snRNAseq
PD_BN0009_MTG_snRNAseq_batch1_rep1,BN0009,rep1,1,0,batch1,fastq,BN0009_S2_L002_I2_001.fastq.gz,PD_BN0009_MTG_snRNAseq_rep1_L002_I2_001.fastq.gz,/data/neurogen/ASAP/scRNAseq/data/batch1_ASAP_snRNA-seq_*/Raw_Data_and_Processing/cellranger_processing/cellranger_fastqs/outs/fastq_path/H*/BN0009_S2_L002_I2_001.fastq.gz,Index 2 Lane 2,db3130d4aa7c179f62bd7dd143ea08d2,SN,RNA,Raw,Reads,NA,NA,NA,NA,snRNAseq
PD_BN0009_MTG_snRNAseq_batch1_rep1,BN0009,rep1,1,0,batch1,fastq,BN0009_S2_L002_R1_001.fastq.gz,PD_BN0009_MTG_snRNAseq_rep1_L002_R1_001.fastq.gz,/data/neurogen/ASAP/scRNAseq/data/batch1_ASAP_snRNA-seq_*/Raw_Data_and_Processing/cellranger_processing/cellranger_fastqs/outs/fastq_path/H*/BN0009_S2_L002_R1_001.fastq.gz,Read 1 Lane 2,1f6f3d447fd4a2f3ebd7b55e69d5f490,SN,RNA,Raw,Reads,NA,NA,NA,NA,snRNAseq
PD_BN0009_MTG_snRNAseq_batch1_rep1,BN0009,rep1,1,0,batch1,fastq,BN0009_S2_L002_R2_001.fastq.gz,PD_BN0009_MTG_snRNAseq_rep1_L002_R2_001.fastq.gz,/data/neurogen/ASAP/scRNAseq/data/batch1_ASAP_snRNA-seq_*/Raw_Data_and_Processing/cellranger_processing/cellranger_fastqs/outs/fastq_path/H*/BN0009_S2_L002_R2_001.fastq.gz,Read 2 Lane 2,13e3adad7cc9a2e9dc055c9ccda9a923,SN,RNA,Raw,Reads,NA,NA,NA,NA,snRNAseq
PD_BN0009_MTG_snRNAseq_batch1_rep1,BN0009,rep1,1,0,batch1,fastq,BN0009_S2_L003_I1_001.fastq.gz,PD_BN0009_MTG_snRNAseq_rep1_L003_I1_001.fastq.gz,/data/neurogen/ASAP/scRNAseq/data/batch1_ASAP_snRNA-seq_*/Raw_Data_and_Processing/cellranger_processing/cellranger_fastqs/outs/fastq_path/H*/BN0009_S2_L003_I1_001.fastq.gz,Index 1 Lane 3,cfb1b5feaf9661f6a6af415464187efa,SN,RNA,Raw,Reads,NA,NA,NA,NA,snRNAseq
PD_BN0009_MTG_snRNAseq_batch1_rep1,BN0009,rep1,1,0,batch1,fastq,BN0009_S2_L003_I2_001.fastq.gz,PD_BN0009_MTG_snRNAseq_rep1_L003_I2_001.fastq.gz,/data/neurogen/ASAP/scRNAseq/data/batch1_ASAP_snRNA-seq_*/Raw_Data_and_Processing/cellranger_processing/cellranger_fastqs/outs/fastq_path/H*/BN0009_S2_L003_I2_001.fastq.gz,Index 2 Lane 3,ab55f67514950a9914188ddb94672752,SN,RNA,Raw,Reads,NA,NA,NA,NA,snRNAseq
